Country Name	Gasto 60s	Gasto 70s	Gasto 80s	Gasto 90s	Gasto 2000s	Gasto 2010-hoy
Namibia				29.653.333.333.333.300	26318.00	3513363636363630.00
Nauru						9183714285714280.00
Nepal					14.60	1607181818181810.00
Netherlands		40.424.285.714.285.700	48.277	43.504	37613.00	40.15
New Zealand		2.986.875	3.734.111.111.111.110		31601111111111100.00	3302272727272720.00
Nicaragua				20.699.000.000.000.000	13958.00	15871818181818100.00
Niger		9.37	10.16			
North America		18.802.500.000.000.000	21.593	20.733	20658.00	23736363636363600.00
North Macedonia					29928.00	29345454545454500.00
Norway		3.046.625	33.675	37.316	33903999999999900.00	3753727272727270.00
OECD members		214.625	25.03	26.382	26345.00	28681818181818100.00
Pacific island small states						30627.00
Pakistan				19.323.333.333.333.300	15.50	
Palau					51125.00	4749090909090900.00
Panama						14074.00
Papua New Guinea				27.820.999.999.999.900	26353333333333300.00	19228571428571400.00
Paraguay					11902.00	15158181818181800.00
Peru		134.525	16.433	16.785	17896.00	20013636363636300.00
Philippines				142.225	15293.00	14184545454545400.00
Poland				40.708.333.333.333.300	37823.00	35414545454545400.00
Portugal		25.447.499.999.999.900	30.465	35.89	39885999999999900.00	4307636363636360.00
Post-demographic dividend		2.174.375	25.223	26.669	26.11	28611818181818100.00
Romania			3.656.888.888.888.880	30.869	31963.00	33593636363636300.00
Russian Federation				20.985	22718.00	28395454545454500.00
Rwanda				13.370.000.000.000.000		1871857142857140.00
Samoa						2915111111111110.00
San Marino					321775.00	4407909090909090.00
Saudi Arabia						2828181818181810.00
Senegal						190625.00
Serbia					35.38	3895363636363630.00
Seychelles			45.158	4.784.142.857.142.850	31.78	2942888888888880.00
Singapore		14.99	18.879	14.92	14697000000000000.00	14790909090909000.00
Slovak Republic				46.744	40361000000000000.00	3967454545454540.00
Slovenia					404475.00	43086363636363600.00
Solomon Islands						29149.00
Somalia						0.00
South Africa		17.485	22.759	26.312	25663.00	33053636363636300.00
South Asia		10.593.333.333.333.300	13.728	15.256	15472.00	15292222222222200.00
South Asia (IDA & IBRD)		10.593.333.333.333.300	13.728	15.256	15472.00	15292222222222200.00
Spain		1.826.625	27.459.000.000.000.000	31.92		34495.00
Sri Lanka				23.801.000.000.000.000	21247.00	1658818181818180.00
St. Kitts and Nevis				17.445.999.999.999.900	22895.00	24594444444444400.00
St. Lucia					15933.00	18263749999999900.00
St. Vincent and the Grenadines					20849999999999900.00	24405.00
Sudan				7.18	15.67	11526666666666600.00
Sweden		2.704.625	36.417	39.26	32927.00	3260090909090900.00
Switzerland			16.738	17.273	17514.00	1694272727272720.00
Tajikistan				10.684.999.999.999.900	10.84	
Tanzania					15.35	14559999999999900.00
Thailand		1.245.125	15.349	12.874	16216.00	18935454545454500.00
Timor-Leste						66604.00
Togo					14780000000000000.00	15026.00
Trinidad and Tobago					25.51	3205222222222220.00
Tunisia		2.400.375	29.847	27.535	26004.00	31133333333333300.00
Turkiye		151.675	15.836.666.666.666.600	2.153.666.666.666.660	32955.00	31428181818181800.00
Uganda						12.06
Ukraine				25.17	31982.00	36.94
United Arab Emirates				6.266.666.666.666.660		4247.00
United Kingdom		3.344.125	34.908	35.502	37745.00	4006363636363630.00
United States		18.802.500.000.000.000	21.593	20.516.000.000.000.000	20921.00	24213636363636300.00
Uruguay		2.120.875	23.733	26.311	27085.00	31876363636363600.00
Uzbekistan						15673.00
Vanuatu				20.143.333.333.333.300	20.98	25.28
West Bank and Gaza					9642.00	9258888888888880.00
World				24.638.571.428.571.400	25258.00	2760181818181810.00
Zambia				17.82	15678888888888800.00	19804545454545400.00
Zimbabwe					9.47	21652857142857100.00
