time,country_name,adolescent_fertility_rate,life_expectancy,mortality_rate,GDP_per_capita,C02_emissions,health_expend_per_capita,electric_power_consumption,oop_expend_per_capita,net_income_per_capita
2014,Afghanistan,88.061,62.966,41.9,614.223342360392,0.146235617051388,198.2940979,0,144.8655851,564.388374620507
2014,Albania,20.2948,77.813,5.9,4578.63320812155,1.66833737091547,618.11419678,2309.36650255581,322.32034946,3844.33754444835
2014,Algeria,10.962,75.878,15.7,5493.05669453687,3.79563225080737,851.35174561,1362.87188408252,226.95722317,4124.11702648667
2014,American0Samoa,0,0,0,11525.1563872309,0,0,0,0,0
2014,Andorra,0,0,1.8,41302.3821426181,5.80712772328595,2888.26171875,0,401.6787878,0
2014,Angola,160.6504,58.776,31.7,5094.11232930191,1.09977911107656,199.09458923,312.228894512622,53.50899481,3608.61733359011
2014,Antigua0and0Barbuda,45.3128,76.349,4.5,13501.5809223367,5.18571324378432,1118.01074219,0,283.34503887,0
2014,Argentina,63.253,75.913,6.9,12334.7982453893,4.20909563279429,1905.10473633,3074.70207056563,515.18046769,10231.5976670644
2014,Armenia,23.5012,74.273,7.8,3986.23162376713,1.8816077373473,1021.58044434,1961.61039526467,842.61350403,3647.61254544618
2014,Aruba,26.1768,75.583,0,26895.0571665314,0,0,0,0,23123.0138976336
2014,Australia,12.0672,82.3,2.4,62511.6905895284,15.8304215213482,4283.14208984,10071.3989785006,831.00242243,48664.3861871184
2014,Austria,8.0144,81.490243902439,2.3,51786.3771747905,7.26040422807808,5082.53710938,8355.84195182134,970.67184942,42460.5501443412
2014,Azerbaijan,51.8792,72.022,14.7,7891.31314749986,3.38119922010786,590.92828369,2202.39391828846,387.5144142,6039.28902601888
2014,"Bahamas,0The",31.6786,72.847,7.5,30154.7386172007,6.79932541228063,1847.06616211,0,523.1875701,26579.0315751242
2014,Bahrain,13.743,76.624,3.2,24989.437527708,22.6634328263841,2252.00732422,19596.9830989774,589.48544631,17072.1395883866
2014,Bangladesh,86.3478,71.231,24.8,1118.87380783368,0.413092687473676,89.45163727,320.209923304099,62.55483324,1089.14940344306
2014,Barbados,39.0454,78.717,9.5,16488.5257320926,4.45887819161418,1061.96179199,0,465.09386829,14070.204955391
2014,Belarus,18.6266,72.9707317073171,1.6,8341.39967861093,6.29728586979012,1025.96032715,3690.1036829597,358.00190107,6920.55272198231
2014,Belgium,5.4778,81.2878048780488,2.3,47764.0715120833,8.04171121528318,4771.91357422,7709.12307788247,922.3337795,39498.7967846
2014,Belize,71.0022,73.782,10.4,4744.10894523227,1.35836495098896,445.17614746,0,99.11808496,3483.94512492786
2014,Benin,92.2574,60.345,32.3,1291.41018480579,0.504528170142496,75.57946777,100.225151769168,33.26444391,1144.1801464522
2014,Bermuda,0,80.7973170731707,0,98467.683993982,0,0,0,0,0
2014,Bhutan,24.867,70.046,19.3,2652.22565438023,0.973502632043912,290.48846436,0,61.49998462,2176.96740066689
2014,Bolivia,69.6934,69.891,17.6,3081.87882365163,1.90631555037106,416.08087158,742.538399742886,128.58711554,2464.17964488687
2014,Bosnia0and0Herzegovina,11.091,76.723,4.7,5330.35507751851,5.59718738347374,1082.85534668,3446.76468780675,313.18718358,4413.11745126553
2014,Botswana,47.3144,66.265,23.3,7495.22086608805,3.34670888808258,912.5057373,1815.55372233998,33.91870733,5903.84096193815
2014,Brazil,62.0762,74.745,9.7,12112.8349554875,2.52323213718715,1319.8001709,2619.96049944708,371.92293949,10407.2088217505
2014,British0Virgin0Islands,0,0,0,0,0,0,0,0,0
2014,Brunei0Darussalam,12.7734,75.193,5,41725.8675220155,17.2776477109705,1557.80786133,10290.9380200987,114.25897007,32374.6353577503
2014,Bulgaria,42.1976,74.4658536585366,4.3,7901.78587639382,5.82092471406323,1349.41772461,4708.92745757231,543.01838146,6642.99020615026
2014,Burkina0Faso,110.9764,59.45,28.8,792.84623742527,0.180825362380399,84.61976624,0,28.83712535,677.863151881053
2014,Burundi,58.65,59.665,24.4,274.857836231788,0.038601013442359,56.84440994,0,17.37021337,192.834962291649
2014,Cabo0Verde,76.6942,71.886,12.6,3588.62558418407,0.964736935532419,306.21734619,0,78.69495771,2978.55983672458
2014,Cambodia,49.3604,68.273,17.2,1093.49597573908,0.455006519311665,213.46783447,271.36720493612,125.13863415,936.085778539496
2014,Cameroon,114.8954,57.083,29.9,1604.21403479187,0.363726896563521,125.86016083,275.197974345394,80.93346956,1275.52006778258
2014,Canada,10.2512,81.8,3.6,50955.9983232404,15.8499054086669,4659.25244141,15588.4871464315,680.12557101,41719.0524752756
2014,Cayman0Islands,0,0,0,74990.4327442868,0,0,0,0,0
2014,Central0African0Republic,134.7086,50.129,43.2,424.449131659484,0.0291207472186052,35.41543961,0,17.80893411,344.863632334902
2014,Chad,171.368,52.789,36.1,1020.28797948927,0.165403427778442,71.96820831,0,40.10155049,732.95126810271
2014,Channel0Islands,8.0034,82.252,0,0,0,0,0,0,0
2014,Chile,48.702,79.504,5.2,14606.9967241905,4.31106093819938,1779.0222168,3879.67342023065,609.64832388,11802.9531234658
2014,China,7.4802,75.629,5.8,7636.11660125502,7.29423550644745,587.25231934,3905.31759800563,214.72782676,5799.90123760631
2014,Colombia,70.6512,76.322,8.7,8114.3439208516,1.68626496146612,946.68365479,1312.1994929878,154.09178457,6512.78683862931
2014,Comoros,70.808,63.214,33.6,1513.8303792438,0.223863893109126,142.14111328,0,93.24022373,1363.56709866416
2014,"Congo,0Dem.0Rep.",127.2944,58.828,30,486.787095119436,0.0696784315423369,33.80978012,108.516704082675,13.08993113,310.868492196322
