Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]",GDP per capita (current US$) [NY.GDP.PCAP.CD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]",Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],"Out-of-pocket expenditure per capita, PPP (current international $) [SH.XPD.OOPC.PP.CD]",Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD]
2000,YR2000,Romania,ROU,37.409,71.1634146341463,10.5,1659.90763954548,3.96649801846645,246.10160828,1987.66018990979,47.79225082,1284.68305745449
2000,YR2000,Russian Federation,RUS,30.5882,65.4836585365854,9,1771.59411621094,10.6676903174515,367.58203125,5198.40570401268,111.04236895,1277.56115722656
2000,YR2000,Rwanda,RWA,48.9988,48.649,43.2,260.607654653932,0.068064184021353,22.92061234,..,6.09397932,220.860510501551
2000,YR2000,Samoa,WSM,40.2346,68.748,8.7,1483.80741460389,0.859825512742614,147.5020752,..,17.63212299,..
2000,YR2000,San Marino,SMR,..,..,2.8,36604.4933810621,..,2827.89355469,..,717.97722796,..
2000,YR2000,Sao Tome and Principe,STP,112.9276,61.365,22.2,..,0.351459258842715,188.09107971,..,73.10968878,..
2000,YR2000,Saudi Arabia,SAU,27.3198,72.561,11.5,9171.33147630515,12.0819750830436,1679.69445801,5664.96836986736,310.11295974,7220.92014822545
2000,YR2000,Senegal,SEN,104.0724,57.787,38.2,613.732384491775,0.414381656324306,67.52839661,102.574769607371,37.55091933,536.70642261625
2000,YR2000,Serbia,SRB,27.104,71.5829268292683,7.8,914.785719885861,5.85257783502782,371.95291138,4198.71570574319,110.12925975,..
2000,YR2000,Seychelles,SYC,57.9036,72.7780487804878,8.7,7578.85105298845,3.57446598710727,659.05535889,..,117.89392907,6280.02130315294
2000,YR2000,Sierra Leone,SLE,160.9152,39.441,48.4,138.698722497148,0.0719805783312285,116.47589111,..,88.11829001,107.033548309845
2000,YR2000,Singapore,SGP,7.501,77.9512195121951,1.6,23852.3270285975,10.4570957427554,1465.14257813,7575.43595438502,705.8887591,20303.507629349
2000,YR2000,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..
2000,YR2000,Slovak Republic,SVK,23.2876,73.0512195121951,5,5426.62428119306,7.06475749343072,602.40185547,4955.9078964949,65.29413685,3825.15445008063
2000,YR2000,Slovenia,SVN,7.1828,75.4121951219512,3.2,10201.3035366727,7.31048179292834,1406.26513672,5777.99565091695,186.65737091,8153.50774913483
2000,YR2000,Solomon Islands,SLB,70.517,67.442,12.8,1017.39966262942,0.581585547599142,77.14681244,..,4.16405713,908.868792580502
2000,YR2000,Somalia,SOM,127.0688,50.869,44.7,..,0.0552283806249824,..,..,..,..
2000,YR2000,South Africa,ZAF,70.2842,56.048,16.9,3374.71842279184,6.33031971183413,629.90075684,4579.95273186341,91.09321191,2819.03012588312
2000,YR2000,South Sudan,SSD,123.8528,49.166,56,..,0.0742007769789186,..,..,..,..
2000,YR2000,Spain,ESP,9.3164,78.9658536585366,2.8,14749.6874248766,7.23010706208244,1471.74304199,5167.80967319354,357.99144358,12755.2481606735
2000,YR2000,Sri Lanka,LKA,28.4064,71.333,9.7,869.696285031043,0.582076330710102,176.31602478,294.81926503304,70.60372998,799.500853103047
2000,YR2000,St. Kitts and Nevis,KNA,..,..,16.6,9565.94990912411,4.31005149377311,784.14538574,..,412.76471126,..
2000,YR2000,St. Lucia,LCA,60.667,73.319,11.4,5950.04748459261,2.48824463910883,450.46051025,..,265.1630368,5038.60604846036
2000,YR2000,St. Martin (French part),MAF,..,76.8731707317073,..,..,..,..,..,..,..
2000,YR2000,St. Vincent and the Grenadines,VCT,69.2202,70.809,13.1,3970.29362248818,1.48440906602837,267.28091431,..,72.91254094,3371.1685299591
2000,YR2000,Sudan,SDN,116.3534,58.472,37.1,366.172729492188,0.208615803347378,76.29737091,79.559981241443,47.16906012,..
2000,YR2000,Suriname,SUR,84.4904,67.822,17.1,2012.28165067815,3.14262417612285,494.38250732,2265.66215940749,76.11721137,1508.27396496806
2000,YR2000,Sweden,SWE,6.7206,79.6439024390244,2.3,29624.9126748618,6.00533649890911,2173.66259766,15681.6152732118,314.36547664,25023.0197661556
2000,YR2000,Switzerland,CHE,5.4812,79.6804878048781,3.5,38952.0342005572,6.08414239482201,3362.19799805,7845.63454779552,1043.64699516,33243.816000401
2000,YR2000,Syrian Arab Republic,SYR,60.0856,73.11,12.1,4910.77774789534,2.70552763059701,144.85440063,1064.9054250521,93.17862302,4008.28755693189
2000,YR2000,Tajikistan,TJK,45.6764,61.974,28.4,138.429146735759,0.353906622381151,45.22412491,2161.56512951615,35.79567313,..
2000,YR2000,Tanzania,TZA,134.261,50.801,33.7,410.952362060547,0.0880618649228308,36.56941605,59.1059296770186,14.06832155,340.977386474609
2000,YR2000,Thailand,THA,43.44,70.623,12.4,2007.7352707452,2.61291667216683,226.48118591,1448.07273290005,77.42392694,1582.0858848656
2000,YR2000,Timor-Leste,TLS,61.6138,59.002,37.8,415.085948577851,..,..,..,..,..
2000,YR2000,Togo,TGO,94.9228,53.491,36.7,302.958591951416,0.257899125295518,36.65238953,95.2399131996834,28.15386834,267.704255088711
2000,YR2000,Tonga,TON,21.7608,69.667,7.1,2091.11300904714,1.02080398521876,109.1031723,..,19.50810402,1940.21730881518
2000,YR2000,Trinidad and Tobago,TTO,40.7776,69.413,18,6435.13421201268,8.04950286428144,626.67248535,3993.18475424157,359.36899829,4497.84751010696
2000,YR2000,Tunisia,TUN,7.5222,73.172,18.3,2211.8350154787,2.13218583966972,301.83569336,976.479312080625,116.59871375,1706.75358450022
2000,YR2000,Turkiye,TUR,49.0298,70.005,18.2,4337.47800296354,3.421874277556,443.08084106,1652.74630078629,126.72291677,3585.9541910591
2000,YR2000,Turkmenistan,TKM,24.8256,63.613,29.6,643.175438078932,8.52721623479228,174.61721802,1692.15752963601,87.32062446,239.534047873205
2000,YR2000,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..
2000,YR2000,Tuvalu,TUV,..,..,24.3,1605.00548368643,1.06473594548552,596.15618896,..,0.61966686,..
2000,YR2000,Uganda,UGA,171.6676,46.229,32.3,261.869141644962,0.0549679179746741,48.75408554,..,21.02841832,208.508309830158
2000,YR2000,Ukraine,UKR,34.9826,67.6756097560976,11,658.3486328125,6.04719734019298,226.96138,2778.40025215296,109.83263697,491.532440185547
2000,YR2000,United Arab Emirates,ARE,26.3898,74.327,5.9,33291.3662541838,27.0351591079578,2325.35400391,12314.0315762235,513.51805371,30318.3298409671
2000,YR2000,United Kingdom,GBR,28.0886,77.7414634146342,3.8,28223.0675706515,9.01455828494603,1904.53564453,6114.52925918564,337.3489065,24420.1249496287
2000,YR2000,United States,USA,46.1652,76.6365853658537,4.6,36329.9560727102,20.4698066603918,4543.43603516,13671.0520240061,686.62151205,31226.4908786912
2000,YR2000,Uruguay,URY,65.7322,74.731,8.5,6875.02546946372,1.64471008821791,1026.14782715,2031.18683605373,258.24758432,6114.54268376542
2000,YR2000,Uzbekistan,UZB,27.8296,67.156,27.8,558.226802377,5.02263654950832,159.16203308,1780.45792360367,96.73412503,427.463988648525
2000,YR2000,Vanuatu,VUT,59.946,67.363,12,1470.63586995743,0.486581172552497,74.44516754,..,7.85559012,1263.48279960477
2000,YR2000,"Venezuela, RB",VEN,92.8978,72.112,11.1,4842.03660114822,5.43640703758433,862.45428467,2667.60921971976,355.78461144,3655.4539489961
2000,YR2000,Vietnam,VNM,28.6456,73.025,15,390.093330934266,0.640842655658472,96.36966705,286.620976082829,35.84152189,338.989603125184
2000,YR2000,Virgin Islands (U.S.),VIR,55.4724,76.619512195122,..,..,..,..,..,..,..
2000,YR2000,West Bank and Gaza,PSE,81.1304,71.022,17.1,1476.17185000238,..,..,..,..,..
2000,YR2000,"Yemen, Rep.",YEM,95.856,60.683,37,554.448665276054,0.863343023875312,138.13606262,142.741677600143,60.07993926,328.46511211716
2000,YR2000,Zambia,ZMB,159.9716,44,34.3,345.689620749861,0.173772088976686,117.65068817,597.545570050217,31.28341377,248.477778409605
2000,YR2000,Zimbabwe,ZWE,100.2418,44.649,24.6,563.057504105969,1.15305481252255,..,897.867791240184,..,469.336073653081
2014,YR2014,Afghanistan,AFG,88.061,62.966,41.9,614.223342360392,0.146235617051388,198.2940979,..,144.8655851,564.388374620507
2014,YR2014,Albania,ALB,20.2948,77.813,5.9,4578.63320812155,1.66833737091547,618.11419678,2309.36650255581,322.32034946,3844.33754444835
2014,YR2014,Algeria,DZA,10.962,75.878,15.7,5493.05669453687,3.79563225080737,851.35174561,1362.87188408252,226.95722317,4124.11702648667
2014,YR2014,American Samoa,ASM,..,..,..,11525.1563872309,..,..,..,..,..
2014,YR2014,Andorra,AND,..,..,1.8,41302.3821426181,5.80712772328595,2888.26171875,..,401.6787878,..
2014,YR2014,Angola,AGO,160.6504,58.776,31.7,5094.11232930191,1.09977911107656,199.09458923,312.228894512622,53.50899481,3608.61733359011
2014,YR2014,Antigua and Barbuda,ATG,45.3128,76.349,4.5,13501.5809223367,5.18571324378432,1118.01074219,..,283.34503887,..
2014,YR2014,Argentina,ARG,63.253,75.913,6.9,12334.7982453893,4.20909563279429,1905.10473633,3074.70207056563,515.18046769,10231.5976670644
2014,YR2014,Armenia,ARM,23.5012,74.273,7.8,3986.23162376713,1.8816077373473,1021.58044434,1961.61039526467,842.61350403,3647.61254544618
2014,YR2014,Aruba,ABW,26.1768,75.583,..,26895.0571665314,..,..,..,..,23123.0138976336
2014,YR2014,Australia,AUS,12.0672,82.3,2.4,62511.6905895284,15.8304215213482,4283.14208984,10071.3989785006,831.00242243,48664.3861871184
2014,YR2014,Austria,AUT,8.0144,81.490243902439,2.3,51786.3771747905,7.26040422807808,5082.53710938,8355.84195182134,970.67184942,42460.5501443412
2014,YR2014,Azerbaijan,AZE,51.8792,72.022,14.7,7891.31314749986,3.38119922010786,590.92828369,2202.39391828846,387.5144142,6039.28902601888
2014,YR2014,"Bahamas, The",BHS,31.6786,72.847,7.5,30154.7386172007,6.79932541228063,1847.06616211,..,523.1875701,26579.0315751242
